symbol,name,share_type
00371,BJ ENT WATER,R
03998,BOSIDENG,O
01876,BUD APAC,O
01908,C&D INTL GROUP,O
00293,CATHAY PAC AIR,O
06818,CEB BANK,H
06186,CHINA FEIHE,O
00384,CHINA GAS HOLD,O
00836,CHINA RES POWER,R
03311,CHINA STATE CON,R
01919,COSCO SHIP HOLD,H
03360,FE HORIZON,O
00101,HANG LUNG PPT,O
01044,HENGAN INT'L,O
00902,HUANENG POWER,H
00683,KERRY PPT,O
01999,MAN WAH HLDGS,O
02282,MGM CHINA,O
02602,ONEWO,H
00316,OOIL,O
00008,PCCW,O
00152,SHENZHEN INT'L,R
01308,SITC,O
06110,TOPSPORTS,O
00220,U-PRESID CHINA,O
00303,VTECH HOLDINGS,O
00288,WH GROUP,O
01128,WYNN MACAU,O
01368,XTEP INT'L,O
00551,YUE YUEN IND,O
