symbol,full_symbol,company_name_zh,name,weight_pct,index_weight_pct,industry_zh,report_company_name
601919,601919.SH,中远海控,"COSCO SHIPPING Holdings Co., Ltd.",2.82,3.204,航运港口,中远海控
000672,000672.SZ,上峰材料,"GANSU SHANGFENG MATERIALS CO., LTD.",2.26,1.229,水泥,上峰材料
603565,603565.SH,中谷物流,"Shanghai Zhonggu Logistics Co., Ltd.",1.98,2.284,航运港口,中谷物流
601699,601699.SH,潞安环能,Shanxi Lu'an Environmental Energy Development Co Ltd,1.93,2.146,煤炭开采,潞安环能
600188,600188.SH,兖矿能源,Yankuang Energy Group Company Limited,1.92,2.26,煤炭开采,兖矿能源
600256,600256.SH,广汇能源,"GUANGHUI ENERGY CO., LTD.",1.88,2.277,煤炭开采,广汇能源
600546,600546.SH,山煤国际,"Shanxi Coal International Energy Group Co., Ltd",1.73,1.993,煤炭开采,山煤国际
600985,600985.SH,淮北矿业,"Huaibei Mining Holdings Co.,Ltd.",1.59,1.87,煤炭开采,淮北矿业
601101,601101.SH,昊华能源,Beijing Haohua Energy Resource Co Ltd,1.5,1.886,煤炭开采,昊华能源
601666,601666.SH,平煤股份,Pingdingshan Tianan Coal Mining Co Ltd,1.45,1.804,煤炭开采,平煤股份
601225,601225.SH,陕西煤业,Shaanxi Coal Industry Company Limited,1.42,1.696,煤炭开采,陕西煤业
601168,601168.SH,西部矿业,Western Mining Co Ltd,1.4,1.801,工业金属,西部矿业
600177,600177.SH,雅戈尔,Youngor Group Co Ltd,1.39,1.306,服装家纺,雅戈尔
000983,000983.SZ,山西焦煤,"Shanxi Coking Coal Energy Group Co.,Ltd.",1.37,1.546,煤炭开采,山西焦煤
600295,600295.SH,鄂尔多斯,"Inner Mongolia Eerduosi Resources Co.,Ltd.",1.36,1.555,冶钢原料,鄂尔多斯
601001,601001.SH,晋控煤业,"Jinneng Holding Shanxi Coal Industry Co.,Ltd",1.35,1.255,煤炭开采,晋控煤业
600350,600350.SH,山东高速,Shandong Hi-speed Company Limited,1.26,1.027,铁路公路,山东高速
002756,002756.SZ,永兴材料,"Yongxing Special Materials Technology Co.,Ltd.",1.24,0.892,能源金属,永兴材料
600919,600919.SH,江苏银行,"Bank of Jiangsu Co., Ltd",1.23,1.223,银行Ⅱ,江苏银行
600348,600348.SH,华阳股份,"Shan Xi Hua Yang Group New Energy Co.,Ltd.",1.21,1.315,煤炭开采,华阳股份
601838,601838.SH,成都银行,"BANK OF CHENGDU CO., LTD.",1.21,1.149,银行Ⅱ,成都银行
000408,000408.SZ,藏格矿业,ZANGGE MINING COMPANY LIMITED,1.18,1.18,农化制品,藏格矿业
000651,000651.SZ,格力电器,"Gree Electric Appliances,Inc. of Zhuhai",1.12,1.025,白色家电,格力电器
600015,600015.SH,华夏银行,Hua Xia Bank Co Ltd,1.12,0.961,银行Ⅱ,华夏银行
600153,600153.SH,建发股份,Xiamen C&D Inc,1.12,1.032,物流,建发股份
601857,601857.SH,中国石油,PetroChina Co Ltd,1.12,1.309,炼化及贸易,中国石油
600398,600398.SH,海澜之家,"Heilan Home Co.,Ltd",1.11,1.117,服装家纺,海澜之家
601077,601077.SH,渝农商行,"Chongqing Rural Commercial Bank Co., Ltd.",1.11,1.096,银行Ⅱ,渝农商行
601000,601000.SH,唐山港,Tangshan Port Group Co Ltd,1.09,1.061,航运港口,唐山港
601229,601229.SH,上海银行,"Bank of Shanghai Co., Ltd.",1.09,1.052,银行Ⅱ,上海银行
000429,000429.SZ,粤高速A,Guangdong Provincial Expressway Development Co Ltd,1.08,0.923,铁路公路,粤高速 A
600901,600901.SH,江苏金租,"Jiangsu Financial Leasing Co.,Ltd.",1.08,1.083,多元金融,江苏金租
601088,601088.SH,中国神华,China Shenhua Energy Co Ltd,1.07,1.18,煤炭开采,中国神华
600039,600039.SH,四川路桥,Sichuan Road&Bridge Co Ltd,1.06,1.091,基础建设,四川路桥
601939,601939.SH,建设银行,China Construction Bank,1.06,1.07,银行Ⅱ,建设银行
601988,601988.SH,中国银行,Bank of China Ltd,1.05,1.061,银行Ⅱ,中国银行
600096,600096.SH,云天化,Yunnan Yuntianhua Co Ltd,1.04,0.95,农化制品,云天化
601169,601169.SH,北京银行,Bank of Beijing Co Ltd,1.04,1.005,银行Ⅱ,北京银行
002867,002867.SZ,周大生,"CHOW TAI SENG JEWELLERY CO., LTD.",1.03,0.884,饰品,周大生
600755,600755.SH,厦门国贸,Xiamen International Trade Group Corp Ltd,1.02,0.944,物流,厦门国贸
600938,600938.SH,中国海油,CNOOC Limited,1.02,1.157,油气开采Ⅱ,中国海油
