ex_date,record_date,payment_date,dividend_per_unit_cny,distribution_per_10_units,currency,source_url
2020-11-30,2020-11-27,2020-12-03,0.06,0.6,CNY,https://www.cmfchina.com/web/fundnoticedetail/200036/index.html
2021-06-18,2021-06-17,2021-06-23,0.03,0.3,CNY,https://www.cmfchina.com/web/fundnoticedetail/202430/index.html
2021-12-09,2021-12-08,2021-12-14,0.03,0.3,CNY,https://www.cmfchina.com/web/fundnoticedetail/204236/index.html
2022-06-27,2022-06-24,2022-06-30,0.03,0.3,CNY,https://www.cmfchina.com/web/fundnoticedetail/206015/index.html
2022-11-29,2022-11-28,2022-12-02,0.03,0.3,CNY,https://www.cmfchina.com/web/fundnoticedetail/207600/index.html
2023-06-16,2023-06-15,2023-06-21,0.034999999999999996,0.35,CNY,https://www.cmfchina.com/web/fundnoticedetail/209813/index.html
2023-12-01,2023-11-30,2023-12-06,0.034999999999999996,0.35,CNY,https://www.cmfchina.com/web/fundnoticedetail/211944/index.html
2024-03-28,2024-03-27,2024-04-02,0.015,0.15,CNY,https://www.cmfchina.com/web/fundnoticedetail/213340/index.html
2024-07-01,2024-06-28,2024-07-04,0.02,0.2,CNY,https://www.cmfchina.com/web/fundnoticedetail/214450/index.html
2024-09-20,2024-09-19,2024-09-25,0.015,0.15,CNY,https://www.cmfchina.com/web/fundnoticedetail/215666/index.html
2024-12-02,2024-11-29,2024-12-05,0.02,0.2,CNY,https://www.cmfchina.com/web/fundnoticedetail/216426/index.html
2025-03-19,2025-03-18,2025-03-24,0.015,0.15,CNY,https://www.cmfchina.com/web/fundnoticedetail/217683/index.html
2025-06-17,2025-06-16,2025-06-20,0.015,0.15,CNY,https://www.cmfchina.com/web/fundnoticedetail/219319/index.html
2025-09-17,2025-09-16,2025-09-22,0.015,0.15,CNY,https://www.cmfchina.com/web/fundnoticedetail/220724/index.html
2025-12-18,2025-12-17,2025-12-23,0.02,0.2,CNY,https://www.cmfchina.com/web/fundnoticedetail/221689/index.html
2026-03-18,2026-03-17,2026-03-23,0.015,0.15,CNY,https://www.cmfchina.com/web/fundnoticedetail/222869/index.html
2026-06-18,2026-06-17,2026-06-24,0.02,0.2,CNY,https://www.cmfchina.com/web/fundnoticedetail/224382/index.html
2026-09-16,2026-09-15,2026-09-21,0.015,0.15,CNY,https://www.cmfchina.com/web/fundnoticedetail/226087/index.html
