trade_date,close,source_id,actual_dividend_count,annual_dividend_frequency,estimated_dividend_count,dividend_as_of,ttm_dividend_cny,ttm_dividend_yield_pct,actual_365d_dividend_count,actual_365d_dividend_cny,actual_365d_dividend_yield_pct
2019-12-27,1.041,tencent_finance_raw_temporary,0,0,0,,,,0,,
2019-12-30,1.052,tencent_finance_raw_temporary,0,0,0,,,,0,,
2019-12-31,1.06,tencent_finance_raw_temporary,0,0,0,,,,0,,
2020-01-02,1.074,tencent_finance_raw_temporary,0,0,0,,,,0,,
2020-01-03,1.073,tencent_finance_raw_temporary,0,0,0,,,,0,,
2020-01-06,1.07,tencent_finance_raw_temporary,0,0,0,,,,0,,
2020-01-07,1.077,tencent_finance_raw_temporary,0,0,0,,,,0,,
2020-01-08,1.066,tencent_finance_raw_temporary,0,0,0,,,,0,,
2020-01-09,1.079,tencent_finance_raw_temporary,0,0,0,,,,0,,
2020-01-10,1.075,tencent_finance_raw_temporary,0,0,0,,,,0,,
2020-01-13,1.083,tencent_finance_raw_temporary,0,0,0,,,,0,,
2020-01-14,1.083,tencent_finance_raw_temporary,0,0,0,,,,0,,
2020-01-15,1.079,tencent_finance_raw_temporary,0,0,0,,,,0,,
2020-01-16,1.074,tencent_finance_raw_temporary,0,0,0,,,,0,,
2020-01-17,1.075,tencent_finance_raw_temporary,0,0,0,,,,0,,
2020-01-20,1.076,tencent_finance_raw_temporary,0,0,0,,,,0,,
2020-01-21,1.058,tencent_finance_raw_temporary,0,0,0,,,,0,,
2020-01-22,1.06,tencent_finance_raw_temporary,0,0,0,,,,0,,
2020-01-23,1.04,tencent_finance_raw_temporary,0,0,0,,,,0,,
2020-02-03,0.94,tencent_finance_raw_temporary,0,0,0,,,,0,,
2020-02-04,0.967,tencent_finance_raw_temporary,0,0,0,,,,0,,
2020-02-05,0.975,tencent_finance_raw_temporary,0,0,0,,,,0,,
2020-02-06,0.988,tencent_finance_raw_temporary,0,0,0,,,,0,,
2020-02-07,0.988,tencent_finance_raw_temporary,0,0,0,,,,0,,
2020-02-10,1.003,tencent_finance_raw_temporary,0,0,0,,,,0,,
2020-02-11,1.009,tencent_finance_raw_temporary,0,0,0,,,,0,,
2020-02-12,1.013,tencent_finance_raw_temporary,0,0,0,,,,0,,
2020-02-13,1.008,tencent_finance_raw_temporary,0,0,0,,,,0,,
2020-02-14,1.013,tencent_finance_raw_temporary,0,0,0,,,,0,,
2020-02-17,1.036,tencent_finance_raw_temporary,0,0,0,,,,0,,
2020-02-18,1.037,tencent_finance_raw_temporary,0,0,0,,,,0,,
2020-02-19,1.031,tencent_finance_raw_temporary,0,0,0,,,,0,,
2020-02-20,1.046,tencent_finance_raw_temporary,0,0,0,,,,0,,
2020-02-21,1.05,tencent_finance_raw_temporary,0,0,0,,,,0,,
